gen,beta,x,y,abund,muFit,sigmaFit,muDisp,sigmaDisp
1,0,0,4,7,0.0473227500941097,0.158619240360039,-100,0
1,0,0,5,3,0.0423789829543871,0.155421944802498,-100,0
1,0,0,10,18,0.0508679140325614,0.1618530303898,-100,0
1,0,0,7,16,0.0483425867786923,0.163882243397579,-100,0
1,0,0,1,6,0.057706431027914,0.185696405581091,-100,0
1,0,0,9,6,0.0539614604023004,0.138003787626701,-100,0
1,0,0,8,5,0.0478597273915969,0.159480399543469,-100,0
1,0,0,6,2,0.0453656068238701,0.160495117692487,-100,0
1,0,0,2,14,0.047955411478447,0.144438561710689,-100,0
1,0,0,3,8,0.0516290227042417,0.147442608163389,-100,0
2,0,0,4,12,0.0468465035707322,0.156729717303171,-100,0
2,0,0,5,3,0.0410465204941219,0.151312841079124,-100,0
2,0,0,10,28,0.0507838586018945,0.165426198676004,-100,0
2,0,0,7,31,0.0462747681268729,0.171289907200007,-100,0
2,0,0,1,11,0.0576512905436613,0.189660239910909,-100,0
2,0,0,9,12,0.0543153860705416,0.135510619904214,-100,0
2,0,0,8,7,0.0512009021931869,0.158413490461562,-100,0
2,0,0,6,4,0.0420482164989762,0.160184753575382,-100,0
2,0,0,2,23,0.0467198251434327,0.148938131969635,-100,0
2,0,0,3,13,0.0497317406591493,0.147889739808165,-100,0
3,0,0,4,18,0.047181903554247,0.158637612266503,-100,0
3,0,0,5,7,0.0434908919115903,0.145716638175469,-100,0
3,0,0,10,52,0.051017517734172,0.166617374846021,-100,0
3,0,0,7,48,0.0455607646330635,0.173565272542587,-100,0
3,0,0,1,17,0.0582794648780367,0.190312269774284,-100,0
3,0,0,9,16,0.055128354995387,0.136329950792507,-100,0
3,0,0,8,16,0.0529351018209911,0.157917481941486,-100,0
3,0,0,6,5,0.0447567012792606,0.162435546964885,-100,0
3,0,0,2,38,0.0471456362977184,0.151326996220735,-100,0
3,0,0,3,34,0.0493026965740511,0.150199523249052,-100,0
4,0,0,4,43,0.048640519655393,0.157445767803858,-100,0
4,0,0,5,15,0.0432856195074102,0.147679328474533,-100,0
4,0,0,10,74,0.0521251968527069,0.165122841390068,-100,0
4,0,0,7,71,0.0460606818507832,0.177716575315169,-100,0
4,0,0,1,24,0.0553333594673758,0.191968457952398,-100,0
4,0,0,9,28,0.0544583148030696,0.131455256491456,-100,0
4,0,0,8,31,0.0500935468223914,0.159612766013825,-100,0
4,0,0,6,7,0.0454819459841885,0.161754410455887,-100,0
4,0,0,2,79,0.0466033391920385,0.153511112201004,-100,0
4,0,0,3,57,0.0493368938478986,0.151257549869469,-100,0
5,0,0,4,69,0.0478739240315207,0.156501707996111,-100,0
5,0,0,5,33,0.0432364983528996,0.147219456557222,-100,0
5,0,0,10,101,0.0531350860763727,0.161294053961932,-100,0
5,0,0,7,90,0.0465930640185349,0.180746011252188,-100,0
5,0,0,1,36,0.0545022672558081,0.189227831899319,-100,0
5,0,0,9,64,0.0548668303383946,0.129290020642539,-100,0
5,0,0,8,44,0.0512741974230389,0.15961852187771,-100,0
5,0,0,6,18,0.0471204978311713,0.162871885007474,-100,0
5,0,0,2,95,0.0487864988555799,0.148057806239905,-100,0
5,0,0,3,77,0.049144793361325,0.152493195431029,-100,0
6,0,0,4,102,0.0487010236887571,0.157535184912926,-100,0
6,0,0,5,57,0.0433797084261647,0.147586426083339,-100,0
6,0,0,10,91,0.0531844813466855,0.162308364017489,-100,0
6,0,0,7,88,0.0474781606954269,0.179032440503773,-100,0
6,0,0,1,55,0.0520360275853745,0.189291189158741,-100,0
6,0,0,9,74,0.0555824620259698,0.127330145702479,-100,0
6,0,0,8,75,0.0498458034975497,0.159330458726059,-100,0
6,0,0,6,33,0.0457588038830001,0.163472060791838,-100,0
6,0,0,2,106,0.0483099619517812,0.147645170881628,-100,0
6,0,0,3,95,0.0492681506713494,0.151102184513668,-100,0
7,0,0,4,100,0.0474595524149514,0.154988771406939,-100,0
7,0,0,5,80,0.0433265111783433,0.146992999985269,-100,0
7,0,0,10,101,0.0534487544857678,0.166912906775947,-100,0
7,0,0,7,107,0.0482614339871013,0.182219824498889,-100,0
7,0,0,1,96,0.0512957260388921,0.191288276552861,-100,0
7,0,0,9,92,0.0544915714456509,0.137742696527463,-100,0
7,0,0,8,90,0.050021037170334,0.162667178915249,-100,0
7,0,0,6,52,0.0447229634121525,0.163903915365564,-100,0
7,0,0,2,107,0.0483129911835189,0.146919921038745,-100,0
7,0,0,3,97,0.0498137267531032,0.151036746466617,-100,0
8,0,0,4,99,0.047227410296806,0.154876354763435,-100,0
8,0,0,5,110,0.0436643534401017,0.14982725883146,-100,0
8,0,0,10,106,0.0539267033096538,0.168207227346284,-100,0
8,0,0,7,92,0.0462327064864576,0.177736576051175,-100,0
8,0,0,1,102,0.0521834619618452,0.192800392956907,-100,0
8,0,0,9,109,0.0552822224427018,0.136279872318506,-100,0
8,0,0,8,105,0.0510141202833874,0.159156506768666,-100,0
8,0,0,6,83,0.0447965167499624,0.164346517660783,-100,0
8,0,0,2,94,0.0480079249656977,0.147114039017727,-100,0
8,0,0,3,96,0.04956648571686,0.156950885916149,-100,0
9,0,0,4,91,0.0474961087733282,0.155385303685962,-100,0
9,0,0,5,93,0.0439289296021307,0.146915954033808,-100,0
9,0,0,10,99,0.0545262417354191,0.166548201916663,-100,0
9,0,0,7,89,0.0480691170585668,0.181393091282337,-100,0
9,0,0,1,101,0.0523034945475702,0.193530038372733,-100,0
9,0,0,9,116,0.0556891558277409,0.133407399988699,-100,0
9,0,0,8,91,0.0513813226479379,0.165399931991714,-100,0
9,0,0,6,112,0.044663440482407,0.164058319442549,-100,0
9,0,0,2,109,0.0495589203968164,0.146935593613168,-100,0
9,0,0,3,83,0.0481124948409607,0.164203543662047,-100,0
10,0,0,4,94,0.0456135070142951,0.155456855577304,-100,0
10,0,0,5,103,0.0447134230511427,0.150090334858318,-100,0
10,0,0,10,117,0.0552650531977957,0.165051271421882,-100,0
10,0,0,7,95,0.0468467154309225,0.175835966322829,-100,0
10,0,0,1,102,0.0534719241760454,0.194519413675526,-100,0
10,0,0,9,99,0.0557978574067776,0.143339831237308,-100,0
10,0,0,8,101,0.0497648894022163,0.165116828528788,-100,0
10,0,0,6,101,0.0437436170809812,0.165372811000152,-100,0
10,0,0,2,90,0.0503619047894675,0.151641324292743,-100,0
10,0,0,3,97,0.0480202308615717,0.170124733398362,-100,0
11,0,0,4,87,0.0439695942838236,0.153086978569699,-100,0
11,0,0,5,81,0.0450502287087304,0.148258558281983,-100,0
11,0,0,10,86,0.0548182716076108,0.160130503276298,-100,0
11,0,0,7,101,0.0465461693174791,0.175326429882163,-100,0
11,0,0,1,110,0.0552587786857787,0.191586254513107,-100,0
11,0,0,9,106,0.0552429369525834,0.143329548674195,-100,0
11,0,0,8,111,0.0497556399255093,0.158790079722516,-100,0
11,0,0,6,99,0.0436986143493583,0.165045629009245,-100,0
11,0,0,2,92,0.0497166691655116,0.154077709169298,-100,0
11,0,0,3,96,0.0468078280132593,0.165192410590825,-100,0
12,0,0,4,99,0.0441358579707935,0.154928950657244,-100,0
12,0,0,5,97,0.0453414270298251,0.146636611125162,-100,0
12,0,0,10,85,0.055501283099526,0.164332277478545,-100,0
12,0,0,7,102,0.0467051976564044,0.176392977632977,-100,0
12,0,0,1,83,0.0534062625290789,0.192630237305847,-100,0
12,0,0,9,101,0.0543819334177629,0.156939188726516,-100,0
